"","submit_name","genus","species","scientificname","uri","bety_id","in_PFT"
"222","Michelia hypolampra","Magnolia","hypolampra","Magnolia hypolampra","http://www.tropicos.org/Name/50333308",1000020896,TRUE
"223","Byrsonima crassa","Byrsonima","crassa","Byrsonima crassa","",1000020864,TRUE
"224","Symplocos mosenii","Symplocos","mosenii","Symplocos mosenii","",1000020877,TRUE
"225","Agathis borneensis","Agathis","borneensis","Agathis borneensis","",1000020947,TRUE
"226","Aglaia glabrata","Aglaia","glabrata","Aglaia glabrata","",1000020948,TRUE
"227","Canarium caudatum","Canarium","caudatum","Canarium caudatum","",1000020949,TRUE
"228","Castanopsis indica ","Castanopsis","indica","Castanopsis indica",NA,1000020950,TRUE
"229","Cordia collococa","Cordia","nodosa","Cordia nodosa","",1000003459,TRUE
"230","Cotylelobium burckii","Cotylelobium","burckii","Cotylelobium burckii","",1000020951,TRUE
"231","Diospyros brachiata","Diospyros","dictyoneura","Diospyros dictyoneura","",1000020952,TRUE
"232","Diospyros mindanaensis","Diospyros","mindanaensis","Diospyros mindanaensis","",1000020953,TRUE
"233","Dipterocarpus globosus","Dipterocarpus","globosus","Dipterocarpus globosus","",1000020954,TRUE
"234","Dryobalanops aromatica","Dryobalanops","aromatica","Dryobalanops aromatica","",40969,TRUE
"235","Dryobalanops sumatrensis","Dryobalanops","sumatrensis","Dryobalanops sumatrensis","",1000020955,TRUE
"236","Dussia munda","Dussia","munda","Dussia munda","",1000020956,TRUE
"237","Galbulimima baccata","Galbulimima","belgraveana","Galbulimima belgraveana","",1000020957,TRUE
"238","Heritiera sumatrana","Heritiera","sumatrana","Heritiera sumatrana","",1000020958,TRUE
"239","Isonandra lanceolata","Isonandra","lanceolata","Isonandra lanceolata","",1000020959,TRUE
"240","Lophopetalum subobovatum","Lophopetalum","subobovatum","Lophopetalum subobovatum","",1000020960,TRUE
"241","Mallotus wrayi","Mallotus","wrayi","Mallotus wrayi","",1000020961,TRUE
"242","Payena endertii","Payena","endertii","Payena endertii","",1000020962,TRUE
"243","Pentace adenophora","Pentace","adenophora","Pentace adenophora","",1000020963,TRUE
"244","Pistacia weinmannifolia","Pistacia","weinmanniifolia","Pistacia weinmanniifolia","",1000020964,TRUE
"245","Santiria mollis","Santiria","mollis","Santiria mollis","",1000020965,TRUE
"246","Shorea ovalis","Shorea","ovalis","Shorea ovalis","",1000020966,TRUE
"247","Sindora leiocarpa","Sindora","leiocarpa","Sindora leiocarpa","",1000020967,TRUE
"248","Stemonurus umbellatus","Stemonurus","umbellatus","Stemonurus umbellatus","",1000020968,TRUE
"249","Tachigalia versicolor","Tachigali","versicolor","Tachigali versicolor","",50999,TRUE
"250","Trimenia neocaledonica","Trimenia","neocaledonica","Trimenia neocaledonica","",1000020969,TRUE
"251","Zygogynum baillonii","Zygogynum","baillonii","Zygogynum baillonii","",1000020970,TRUE
"252","Zygogynum bicolor","Zygogynum","bicolor","Zygogynum bicolor","",1000020971,TRUE
"253","Zygogynum pomiferum","Zygogynum","pomiferum","Zygogynum pomiferum","",1000020972,TRUE
"254","Zygogynum queenslandianum","Zygogynum","queenslandianum","Zygogynum queenslandianum","",1000020973,TRUE
"255","Zygogynum semecarpoides","Zygogynum","semecarpoides","Zygogynum semecarpoides","",1000020974,TRUE
