"","Observation","CurveID","Site.Name","canopy.ground","Family","Order","Clade","Growth.form","LimitState","Amax","Vcmax25","Jmax25","tpu25","numrubisco","numrubp","numtpu","LMA","Nmass","Cmass","Pmass","wood.density","density.source","species","citation_id","lat","lon","site_id"
"1",2,"no2-2013jan22cecilia2.csv","PNM","ground","Araliaceae","Apiales","asterids","tree","RubiscoRuBpTpu",10.08,39.21,44,2.95,"5","7","4",40.72,21.9,460.3,1.3,0.411,"Wright et al.","Dendropanax arboreus",2000000018,8.994504,-79.542955,2000000002
"2",3,"no3-2013jan22brick1.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",123.01,26,389.6,1.64,0.336,"Wright et al.","Ficus insipida",2000000018,8.994504,-79.542955,2000000002
"3",4,"no4-2013jan22agnes1.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoRuBpTpu",18.53,NA,NA,4.73,"NA","NA","2",84.92,24.9,421.8,1.61,0.337,"Chave et al. ","Castilla elastica",2000000018,8.994504,-79.542955,2000000002
"4",5,"Dorothy, FIIN 1, 10:45","PNM","canopy","Moraceae","Rosales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",128.21,20.83,381.1,1.35,0.377,"Chave et al. ","Ficus insipida",2000000018,8.994504,-79.542955,2000000002
"5",6,"nonut-2013jan22agnes.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",116.62,29.43,393.7,1.73,0.377,"","Ficus insipida",2000000018,8.994504,-79.542955,2000000002
"6",7,"no7-2013jan22brick2.csv","PNM","canopy","Moraceae","Rosales","rosids","tree","RubiscoTpu",13.08,45.34,NA,5.08,"8","0","5",75.93,30.1,427.3,1.88,0.337,"Wright et al.","Castilla elastica",2000000018,8.994504,-79.542955,2000000002
"7",8,"no8-13jan22cecilia1.csv","PNM","ground","Capparaceae","Brassicales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",46.35,45.2,412.2,1.09,0.614,"Wright et al.","Capparis cynophallophora",2000000018,8.994504,-79.542955,2000000002
"8",11,"no11-2013jan23cecilia1_3of6.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBp",13.57,39.91,62.06,4.38,"9","5","0",82.79,16.6,431.6,0.82,0.641,"Wright et al.","Posoqueria latifolia",2000000018,8.994504,-79.542955,2000000002
"9",12,"no12-2013jan23cecilia1_4of6.csv","PNM","canopy","Connaraceae","Oxalidales","rosids","tree","RuBpTpu",8.55,NA,54.95,3.42,"0","12","5",69.66,20,467.9,0.83,NA,"","Connarus williamsii",2000000018,8.994504,-79.542955,2000000002
"10",13,"no13-2013jan23cecilia1_5of6.csv","PNM","canopy","Sapotaceae","Ericales","asterids","tree","RubiscoRuBpTpu",16.11,45.74,75.28,4.76,"9","2","6",50.64,25,448.6,1.76,0.777,"Chave et al. ","Chrysophyllum cainito",2000000018,8.994504,-79.542955,2000000002
"11",16,"dorothy,anex1,09:15","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",68.6,22.48,448.5,2.04,0.391,"Chave et al. ","Anacardium excelsum",2000000018,8.994504,-79.542955,2000000002
"12",17,"no17-2013_jan23brick2_1of5.csv","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",50.62,24.6,448.6,2.43,0.421,"Wright et al.","Anacardium excelsum",2000000018,8.994504,-79.542955,2000000002
"13",18,"agnes,anex3,09:15","PNM","canopy","Anacardiaceae","Sapindales","rosids","tree","",NA,NA,NA,NA,"NA","NA","NA",71.68,17.7,446.7,2.25,0.391,"Chave et al. ","Anacardium excelsum",2000000018,8.994504,-79.542955,2000000002
"14",19,"no19c-2013jan23brick2_3of5.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu",25.58,56.23,97.88,6.89,"11","2","3",100.06,31,409.2,1.87,0.264,"Wright et al.","Cecropia longipes",2000000018,8.994504,-79.542955,2000000002
"15",20,"no20a-2013jan23agnes2of5.csv","PNM","canopy","Urticaceae","Rosales","rosids","tree","RubiscoRuBpTpu",26.93,75.4,100.83,6.96,"5","6","4",102.19,28.2,394.8,1.64,0.264,"Wright et al.","Cecropia longipes",2000000018,8.994504,-79.542955,2000000002
"16",23,"nonut-2013jan23agnes5of5.csv","PNM","canopy","Rubiaceae","Gentianales","asterids","tree","RubiscoRuBpTpu",32.92,32.92,49.12,3.54,"9","3","4",66.24,22.61,464.1,1.37,NA,"","Pittoniotis trichantha",2000000018,8.994504,-79.542955,2000000002
"17",24,"nonut-2013jan23brick2_5of5.csv","PNM","canopy","Araliaceae","Apiales","asterids","tree","RubiscoRuBpTpu",22.5,69.06,114.37,8.22,"9","5","1",118.75,24.57,472,1.15,NA,"","Schefflera morototoni",2000000018,8.994504,-79.542955,2000000002
"18",25,"scmo2,dorothy,13:40","PNM","canopy","Araliaceae","Apiales","asterids","tree","",NA,NA,NA,NA,"NA","NA","NA",111.18,20.72,463.5,1.15,NA,"","Schefflera morototoni",2000000018,8.994504,-79.542955,2000000002
"19",26,"no26-2013jan24agnes1of8.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu",17.67,42.86,69.94,4.7,"8","2","4",72.86,28.3,453.3,1.33,0.426,"Wright et al.","Annona spraguei",2000000018,8.994504,-79.542955,2000000002
"20",30,"no30-2013jan24agnes5of8.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu",12.45,47.07,68.47,3.89,"8","1","5",103.85,19,447.4,1.15,0.573,"Wright et al.","Luehea seemanii",2000000018,8.994504,-79.542955,2000000002
"21",31,"no31-2013jan24agnes2of8.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu",16.29,45.57,70.06,4.46,"9","2","5",75.7,28.4,445.7,1.49,0.426,"Wright et al.","Annona spraguei",2000000018,8.994504,-79.542955,2000000002
"22",32,"no32-2013jan24brick5of8.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu",15.89,60.86,77.74,4.93,"5","6","5",105.27,19.1,448.4,1.12,0.573,"Wright et al.","Luehea seemanii",2000000018,8.994504,-79.542955,2000000002
"23",34,"no34-2013jan24cecilia1of4.csv","PNM","canopy","Annonaceae","Magnoliales","magnoliids","tree","RubiscoRuBpTpu",14.72,33.17,61.73,4.38,"8","3","3",74.52,22.7,447.3,1.12,0.426,"Wright et al.","Annona spraguei",2000000018,8.994504,-79.542955,2000000002
"24",35,"no35-2013jan24cecilia3of4.csv","PNM","canopy","Malvaceae","Malvales","rosids","tree","RubiscoRuBpTpu",14.59,41.72,70.03,4.43,"9","1","5",88.47,17.4,439.9,1.11,0.573,"Wright et al.","Luehea seemanii",2000000018,8.994504,-79.542955,2000000002
"25",37,"no37-2013jan24brick7of8.csv","PNM","canopy","Lauraceae","Laurales","magnoliids","tree"," ",13.6,NA,NA,3.98,"NA","NA","NA",104.56,19.6,465.7,0.98,0.524,"Wright et al.","Cinnamomum triplinerve",2000000018,8.994504,-79.542955,2000000002
