Species,ksat,kl,P50,ax,Lat,Long,Ref,SLA,WD
harpullia cupanioides,2.2,NaN,-2.51,NaN,21.9,101.7666667,Chen et al. 2017,12.5,0.44
michelia hypolampra,1.69,NaN,-2.25,NaN,21.9,101.7666667,Chen et al. 2017,NaN,NaN
streblus asper,1.86,NaN,-2.93,NaN,21.9,101.7666667,Chen et al. 2017,12.08,0.55
alphitonia excelsa,4.89,0.001003,-5.56,10.88825215,-19.18333333,145.75,Choat et al. 2005,9.44,0.67
austromyrtus bidwillii,NaN,NaN,-5.12,NaN,-19.1833,145.75,Choat et al. 2005,NaN,NaN
brachychiton australis,6.46,0.002019,-3.17,19.19191919,-19.18333333,145.75,Choat et al. 2005,13.44,0.25
cochlospermum gillivraei,7.75,0.003982,-1.44,62.29508197,-19.18333333,145.75,Choat et al. 2005,16.5,0.3
gossia bidwillii,1.24,0.00018,-5.12,5.523255814,-19.18333333,145.75,Choat et al. 2005,11.61,0.71
cordia alliodora,9.562827947,0.001258637,-3.6,15.70247934,10.35,-85.35,Choat et al. 2007,10.13067281,0.520307692
cordia alliodora,10.99587564,0.001203539,-2.93,17.11711712,9.166666667,-79.846036,Choat et al. 2007,11.44952373,0.520307692
cordia alliodora,8.931733887,0.001022978,-1.78,20.32085561,10.41666667,-84,Choat et al. 2007,11.62621607,0.520307692
cordia collococa,NaN,NaN,-2.34,NaN,10.35,-85.35,Choat et al. 2007,NaN,NaN
cordia cymosa,7.806902666,0.000807631,-1.2,28.14814815,10.41666667,-84,Choat et al. 2007,13.69162853,NaN
cordia inermis,1.842397477,0.000248493,NaN,NaN,10.35,-85.35,Choat et al. 2007,32.62398287,NaN
cordia lasiocalyx,3.764341188,0.000191891,-2.57,22.35294118,9.166666667,-79.846036,Choat et al. 2007,17.85176439,0.397
cordia lucidula,3.323462731,0.000288741,-1.58,27.3381295,10.41666667,-84,Choat et al. 2007,17.82559317,NaN
cordia nodosa,3.71533023,0.000404829,-2.34,22.22222222,10.35,-85.35,Choat et al. 2007,7.565508966,0.39
cordia panamensis,11.63171081,0.000731387,-2.33,29.6875,9.166666667,-79.846036,Choat et al. 2007,11.03015463,NaN
araucaria hunsteinii,NaN,NaN,-4.07,44.84,5.1806,-52.68,Cochard 2006,NaN,0.5683735
anacardium excelsum,4.52,0.00047,-0.9,NaN,8.98333333,-79.55,De Guzman et al. 2016,8.47,0.35
annona spraguei,8.68,0.00072,-0.17,NaN,8.98333333,-79.55,De Guzman et al. 2016,15.3,0.27
antirrhea trichantha,4.25,0.00054,-1.19,NaN,8.98333333,-79.55,De Guzman et al. 2016,15.7,0.37
astronium graveolens,3.19,0.00049,-0.48,NaN,8.98333333,-79.55,De Guzman et al. 2016,14.1,0.41
cordia alliodora,14.8,0.00178,-0.4,NaN,8.98333333,-79.55,De Guzman et al. 2016,NaN,0.37
luehea seemannii,1.26,0.00022,-0.87,NaN,8.98333333,-79.55,De Guzman et al. 2016,16.1,0.27
blepharocalyx salicifolius,21,NaN,-1.4,26.38888889,-15.93333333,-47.88333333,Domec et al. 2006a,NaN,0.55
byrsonima crassa,49,NaN,-0.9,24.35897436,-15.93333333,-47.88333333,Domec et al. 2006a,NaN,0.52
kielmeyera coriacea,32,NaN,-0.8,39.58333333,-15.93333333,-47.88333333,Domec et al. 2006a,4.897788194,0.66
qualea parviflora,47,NaN,-1,19.79166667,-15.93333333,-47.88333333,Domec et al. 2006a,NaN,0.28
laguncularia racemosa,NaN,NaN,-3.4,NaN,19.5653,-96.3859,Ewers et al. 2004,NaN,0.61
gnetum costatum,1.12,0.000125,-3.1,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,NaN
gnetum gnemon,1.1,0.000127,-4.620333333,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,0.61
hibiscus,9.2,0.00041,NaN,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,NaN
homalanthus novoguineensis,3.87,0.00032,NaN,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,NaN
horsfieldia,1.45455,0.000188,NaN,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,NaN
kleinhovia hospita,8.2,0.0004445,NaN,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,0.428666667
podocarpus neriifolius,0.45,0.000125,NaN,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,0.476875
trema orientalis,5.87,0.00024,NaN,NaN,-5.133333333,145.6833333,Feild & Balun 2008,10.47128548,0.345333333
trichospermum pleiostigma,7.66942,0.000297,NaN,NaN,-5.133333333,145.6833333,Feild & Balun 2008,NaN,NaN
ardisia palmana,0.23,0.00062,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,NaN,NaN
clusia stenophylla,0.12,0.00013,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,3.801893963,NaN
cosmibuena valerioi,0.39,0.00041,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,NaN,NaN
dendropanax latilobus,0.64,0.00062,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,NaN,NaN
drimys granadensis,0.39,0.00033,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,NaN,NaN
miconia,0.51,0.00045,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,NaN,NaN
oreopanax nubigenus,0.48,0.00026,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,NaN,NaN
schefflera pittieri,0.65,0.00063,NaN,NaN,10.2,-84.7,Feild & Holbrook 2000,NaN,NaN
illicium floridanum,0.4,NaN,NaN,NaN,35.12611111,-83.59333333,Feild et al. 2009 + Feild & Isnard 2013,11.78,0.575
caesalpinia eriostachys,1.7,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.7
capparis indica,0.9,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.56
cnidoscolus spinosus,3,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.31
cordia alliodora,2.9,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.59
guapira,1.7,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.475
heliocarpus pallidus,5.5,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.47
ipomoea wolcottiana,2.2,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.605
psidium sartorianum,1.1,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.725
ruprechtia fusca,2.4,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.625
spondias purpurea,2.9,NaN,NaN,NaN,19.5,-105.05,Gartner et al. 1990,NaN,0.39
drimys granadensis,NaN,NaN,-1.64,50.66666667,10.7,-84.11666667,Hacke et al. 2007,NaN,0.454669
drimys insipida,NaN,NaN,-4.68,28.78787879,-16.31,145.15,Hacke et al. 2007,NaN,0.554086
drimys winteri,NaN,NaN,-2.3,NaN,-30.675,-71.675,Hacke et al. 2007,6.27335696,0.415
zygogynum baillonii,NaN,NaN,-3,35.51401869,-22.047,166.468,Hacke et al. 2007,NaN,NaN
zygogynum bicolor,NaN,NaN,-2.3,40.86021505,-21.37,165.5,Hacke et al. 2007,NaN,NaN
zygogynum pancheri,NaN,NaN,-5.2,39.58333333,-22.166,166.534,Hacke et al. 2007,NaN,0.627626
zygogynum pomiferum,NaN,NaN,-3.45,39.17525773,-21.34,165.46,Hacke et al. 2007,NaN,0.574514
zygogynum queenslandianum,NaN,NaN,-3.6,15.96638655,-16.35,145.17,Hacke et al. 2007,NaN,NaN
zygogynum semecarpoides,NaN,NaN,-3.27,43.18181818,-16.08333333,145.4,Hacke et al. 2007,NaN,0.408366
acinodendron pohlianum,4.73,0.001092,-3.1,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.53
hymenaea martiana,2.94,0.000412,-2.8,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.56
hymenaea stigonocarpa,3.59,0.000656,-3.17,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.72
miconia cuspidata,5.37,0.000344,-3.4,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.74
miconia pohliana,NaN,NaN,-3.1,NaN,-15.9333,-47.8833,Hao et al. 2008,NaN,NaN
myrsine ferruginea,3.25,0.000434,-3.08,NaN,-15.93333333,-47.88333333,Hao et al. 2008,NaN,0.62
