Species,ksat,kl,P50,ax,Lat,Long,Ref,SLA,WD
lophopetalum subobovatum,NaN,NaN,-0.59,70.37037037,4.66,114.52,Tyree et al. 1998,NaN,0.54
mallotus wrayi,NaN,NaN,-0.53,122.5806452,4.66,114.52,Tyree et al. 1998,NaN,NaN
nephelium lappaceum,NaN,NaN,-0.76,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.7102
payena endertii,NaN,NaN,-0.63,74.50980392,4.66,114.52,Tyree et al. 1998,NaN,0.633333333
pentace adenophora,NaN,NaN,-0.19,165.2173913,4.66,114.52,Tyree et al. 1998,NaN,NaN
santiria mollis,NaN,NaN,-0.2,92.68292683,4.66,114.52,Tyree et al. 1998,NaN,NaN
shorea faguetiana,NaN,NaN,-0.37,88.37209302,4.66,114.52,Tyree et al. 1998,NaN,0.48
shorea mecistopteryx,NaN,NaN,-0.63,140.7407407,4.66,114.52,Tyree et al. 1998,NaN,0.426666667
shorea ovalis,NaN,NaN,-0.39,158.3333333,4.66,114.52,Tyree et al. 1998,NaN,0.43
sindora leiocarpa,NaN,NaN,-0.86,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.51
stemonurus umbellatus,NaN,NaN,-0.18,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.61
xerospermum laevigatum,NaN,NaN,-0.18,NaN,4.5594,114.4213,Tyree et al. 1998,NaN,0.77
eucalyptus grandis,NaN,NaN,-1.31,NaN,-28.4333,32.1833,Vander Willigen & Pammenter 1998,NaN,0.662
eucalyptus x,NaN,NaN,-1.77,NaN,-28.4333,32.1833,Vander Willigen & Pammenter 1998,NaN,NaN
barringtonia racemosa,NaN,NaN,-1.36,NaN,-29.8833,31,Vander Willigen et al. 2000,NaN,0.454
cinnamomum camphora,NaN,NaN,-1.24,NaN,-29.8833,31,Vander Willigen et al. 2000,NaN,0.4874
podocarpus latifolius,NaN,NaN,-1.74,NaN,-29.8833,31,Vander Willigen et al. 2000,3.84591782,0.469
trichilia dregeana,NaN,NaN,-2.66,NaN,-29.8833,31,Vander Willigen et al. 2000,NaN,0.482
sclerolobium paniculatum,4.2,0.00088,-3.4,NaN,-15.93333333,-47.88333333,Zhang et al. 2009,5.555,0.65
sclerolobium paniculatum,3.6,0.00083,-3.2,NaN,-15.93333333,-47.88333333,Zhang et al. 2009,5,0.67
sclerolobium paniculatum,6,0.0011,-3.4,NaN,-15.93333333,-47.88333333,Zhang et al. 2009,5.405,0.59
sclerolobium paniculatum,NaN,NaN,-3.4,NaN,-15.9333,-47.8833,Zhang et al. 2009,NaN,NaN
baccaurea ramiflora,0.74,0.00037,-2.1,NaN,21.9,101.7666667,Zhu & Cao 2009,NaN,0.56
baccaurea ramiflora,0.74,0.00037,-2.1,NaN,21.9,101.7666667,Zhu & Cao 2009,NaN,0.56
bauhinia variegate,2.07,0.000633,-1.6,NaN,21.9,101.7666667,Zhu & Cao 2009,NaN,0.51
bauhinia variegate,2.07,0.000633,-1.6,NaN,21.9,101.7666667,Zhu & Cao 2009,NaN,0.51
syzygium szemaoense,1.64,0.000533,-2,NaN,21.9,101.7666667,Zhu & Cao 2009,NaN,0.52
syzygium szemaoense,1.64,0.000533,-2,NaN,21.9,101.7666667,Zhu & Cao 2009,NaN,0.52
alphonsea monogyna,3.47,0.000391,-1.9,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.6
bauhinia purpurea,11.79,0.00098,-1.3,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.42
bauhinia variegate,10.58,0.001059,-1.2,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.44
bischofia javanica,7.89,0.000533,-1.2,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.44
castanopsis indica ,4.45,0.000371,-1.3,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.47
celtis philippensis,3.45,0.000534,-2.1,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.62
cipadessa baccifera,3.89,0.000468,-2.3,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.61
cleistanthus sumatranus,1.57,0.000169,-3.4,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.71
croton crassifolius,4.07,0.000438,-1.6,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.63
lagerstroemia tomentosa,7.74,0.000985,-1.4,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.61
lasiococca comberi,2.12,0.000223,-2,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.69
millettia cubitti,7.73,0.000777,-1.1,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.53
millettia leptobotrya,4.61,0.000236,-1.6,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.63
pistacia weinmannifolia,2.01,0.000387,-4.1,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.72
syzygium cumini,6.15,0.000603,-1.2,NaN,21.9,101.7666667,Zhu et al. 2017,7.413102413,0.61
syzygium latilimbum,4.57,0.000416,-2,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.64
syzygium szemaoense,8.06,0.000697,-1.3,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.53
turpinia pomifera,2.73,0.000501,-2.2,NaN,21.9,101.7666667,Zhu et al. 2017,NaN,0.58
cordia alliodora,NaN,NaN,-3.2,58.46153846,9.166666667,-79.846036,Zotz et al. 1994,NaN,0.520307692
ficus citrifolia,NaN,NaN,-1.6,63.33333333,9.166666667,-79.846036,Zotz et al. 1994,NaN,0.4
ouratea lucens,NaN,NaN,-1.8,14.07407407,9.166666667,-79.846036,Zotz et al. 1994,NaN,NaN
annona glabra,9.1,0.0018,-3.3,18.0952381,9.166666667,-79.846036,Zotz et al. 1997,10.27,0.51
alseis blackiana,4.0426,0.000670722,-3.074643425,14.17986293,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,15.2912,0.57106
croton billbergianus,8.0085376,0.001325324,-0.434398757,71.35798787,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,26.769148,0.44668
erythrina costaricensis,6.6344588,0.001207007,-1.359056703,40.97292312,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,36.78721,0.30128
eugenia nesiotica,5.8039816,0.000917559,-1.435378143,30.05014163,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,21.091442,0.47282
faramea occidentalis,1.27166,0.000191062,-3.996514316,11.26112425,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,18.856968,0.5132833
gustavia superba,1.093745,0.000303322,-1.598452836,50.55533823,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,16.345402,0.39436
inga vera,1.8498364,0.000285028,-4.495364579,17.63828247,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,19.40248,0.45516
luehea seemannii,8.04222,0.001437552,-2.027483016,39.81884936,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,19.5426,0.4074
miconia argentea,2.1880484,0.000471854,-0.779175224,59.04399617,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,15.231692,0.58236
senna dariensis,1.373471,0.000533683,-1.572874874,27.49481716,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,44.52742,0.4301167
terminalia amazonia,0.6830346,0.000240593,-3.403316231,12.87741815,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,22.059242,0.56028
vismia billbergiana,2.3815075,0.001093299,-2.631534516,20.84928618,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,22.878338,0.3847167
xylopia macrantha,1.318958,0.000460579,-2.65370924,15.08845143,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,23.18995,0.41306
zanthoxylum panamense,6.8690662,0.000741532,-2.589694304,21.27978929,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,23.388837,0.4267
zuelania guidonia,5.26524,0.000475035,-3.53941893,19.96156217,9.16666667,-79.11666667,Van der Sande et al. 2013 + unpublished data,14.590266,0.55888
annona spraguei,7.3408,0.001241857,-2.377684574,29.04526549,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,14.225738,0.35238
brosimum utile,9.11352,0.001275674,-2.065974143,22.86722251,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,10.02136,0.53688
cecropia obtusifolia,9.70104,0.001545671,-0.697993285,68.20993693,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,20.685776,0.28148
myriocarpa longipes,11.9952,0.001724209,-0.73995332,76.89441033,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,18.1148,0.26522
piper reticulatum,8.0422,0.001710931,-0.752099638,60.90441931,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,13.902812,0.34366
pourouma bicolor,6.831,0.001437636,-1.240017663,34.6898397,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,15.83768,0.3469
protium panamense,8.72496,0.001689882,-1.512397772,28.16725218,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,11.547208,0.50214
simarouba amara,6.44182,0.001624577,-0.947587384,43.32960464,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,16.1094,0.38282
tachigali versicolor,1.79872,0.00076449,-2.98247997,27.72041825,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,10.957978,0.58934
tapirira guianensis,3.3879,0.001003693,-2.855256864,25.57114338,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,11.745478,0.55584
virola sebifera,5.22424,0.000981601,-1.99214399,27.73510435,9.28111111,-79.97451944,Van der Sande & Markesteijn et al. unpublished data,10.12885,0.4869
