"id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
51759,782,1226,2434,"Observations",1990-08-01 04:00:00,NA,NA,27192,9.7,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,9.7,NA
51764,782,1226,2434,"Observations",1990-08-03 04:00:00,NA,NA,45524,9.756,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,9.756,NA
51769,782,1226,2434,"Observations",1990-08-03 04:00:00,NA,NA,44738,9.764,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,9.764,NA
51774,782,1226,2434,"Observations",1990-12-12 04:00:00,NA,NA,2467,9.946,NA,NA,NA,"SLA",12,-65.74,18.31,TRUE,FALSE,9.946,NA
51779,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,43171,10.08,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,10.08,NA
51784,782,1226,2434,"Observations",1990-10-30 04:00:00,NA,NA,51197,10.18,NA,NA,NA,"SLA",10,-65.74,18.31,TRUE,FALSE,10.18,NA
51789,782,1226,2434,"Observations",1990-12-05 04:00:00,NA,NA,51198,10.2,NA,NA,NA,"SLA",12,-65.74,18.31,TRUE,FALSE,10.2,NA
51794,782,1226,2434,"Observations",1992-06-22 04:00:00,NA,NA,2468,10.38,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,10.38,NA
51799,782,1226,2434,"Observations",1992-06-15 04:00:00,NA,NA,130,10.8,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,10.8,NA
51804,782,1226,2434,"Observations",1993-06-16 04:00:00,NA,NA,17357,10.92,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,10.92,NA
51809,782,1226,2434,"Observations",1991-12-05 04:00:00,NA,NA,25998,11.26,NA,NA,NA,"SLA",12,-65.74,18.31,TRUE,FALSE,11.26,NA
51814,782,1226,2434,"Observations",1990-09-17 04:00:00,NA,NA,51199,11.54,NA,NA,NA,"SLA",9,-65.74,18.31,TRUE,FALSE,11.54,NA
51819,782,1226,2434,"Observations",1992-06-15 04:00:00,NA,NA,21983,11.71,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,11.71,NA
51824,782,1226,2434,"Observations",1992-06-19 04:00:00,NA,NA,426,11.93,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,11.93,NA
51829,782,1226,2434,"Observations",1993-07-07 04:00:00,NA,NA,51200,11.96,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,11.96,NA
51834,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,1309,11.97,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,11.97,NA
51839,782,1226,2434,"Observations",1991-03-04 04:00:00,NA,NA,27848,11.97,NA,NA,NA,"SLA",3,-65.74,18.31,TRUE,FALSE,11.97,NA
51844,782,1226,2434,"Observations",1992-06-30 04:00:00,NA,NA,26112,12.05,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,12.05,NA
51849,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,5817,12.39,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,12.39,NA
51854,782,1226,2434,"Observations",1991-06-11 04:00:00,NA,NA,42997,12.49,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,12.49,NA
51864,782,1226,2434,"Observations",1992-06-05 04:00:00,NA,NA,903,12.84,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,12.84,NA
51874,782,1226,2434,"Observations",1993-06-23 04:00:00,NA,NA,1422,12.86,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,12.86,NA
51879,782,1226,2434,"Observations",1992-06-04 04:00:00,NA,NA,879,13.06,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,13.06,NA
51884,782,1226,2434,"Observations",1990-12-05 04:00:00,NA,NA,858,13.25,NA,NA,NA,"SLA",12,-65.74,18.31,TRUE,FALSE,13.25,NA
51889,782,1226,2434,"Observations",1991-12-18 04:00:00,NA,NA,11272,13.52,NA,NA,NA,"SLA",12,-65.74,18.31,TRUE,FALSE,13.52,NA
51894,782,1226,2434,"Observations",1992-05-14 04:00:00,NA,NA,32292,13.73,NA,NA,NA,"SLA",5,-65.74,18.31,TRUE,FALSE,13.73,NA
51899,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,421,13.76,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,13.76,NA
51904,782,1226,2434,"Observations",1991-03-11 04:00:00,NA,NA,1025,13.84,NA,NA,NA,"SLA",3,-65.74,18.31,TRUE,FALSE,13.84,NA
51909,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,1380,14.05,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,14.05,NA
51914,782,1226,2434,"Observations",1990-08-27 04:00:00,NA,NA,51214,14.07,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,14.07,NA
51919,782,1226,2434,"Observations",1990-08-03 04:00:00,NA,NA,26734,14.12,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,14.12,NA
51924,782,1226,2434,"Observations",1990-10-19 04:00:00,NA,NA,33851,14.21,NA,NA,NA,"SLA",10,-65.74,18.31,TRUE,FALSE,14.21,NA
51929,782,1226,2434,"Observations",1992-01-09 04:00:00,NA,NA,35684,14.36,NA,NA,NA,"SLA",1,-65.74,18.31,TRUE,FALSE,14.36,NA
51939,782,1226,2434,"Observations",1992-06-03 04:00:00,NA,NA,38502,14.42,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,14.42,NA
51944,782,1226,2434,"Observations",1991-02-26 04:00:00,NA,NA,19614,14.46,NA,NA,NA,"SLA",2,-65.74,18.31,TRUE,FALSE,14.46,NA
51949,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,41617,14.68,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,14.68,NA
51954,782,1226,2434,"Observations",1992-07-16 04:00:00,NA,NA,32156,14.85,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,14.85,NA
51959,782,1226,2434,"Observations",1990-07-30 04:00:00,NA,NA,406,15.07,NA,NA,NA,"SLA",7,-65.74,18.31,TRUE,FALSE,15.07,NA
51964,782,1226,2434,"Observations",1990-12-05 04:00:00,NA,NA,10766,15.28,NA,NA,NA,"SLA",12,-65.74,18.31,TRUE,FALSE,15.28,NA
51969,782,1226,2434,"Observations",1990-08-03 04:00:00,NA,NA,281,15.29,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,15.29,NA
51974,782,1226,2434,"Observations",1992-06-12 04:00:00,NA,NA,16602,15.35,NA,NA,NA,"SLA",6,-65.74,18.31,TRUE,FALSE,15.35,NA
51979,782,1226,2434,"Observations",1990-08-23 04:00:00,NA,NA,26817,15.56,NA,NA,NA,"SLA",8,-65.74,18.31,TRUE,FALSE,15.56,NA
51984,782,1226,2434,"Observations",1990-10-09 04:00:00,NA,NA,43890,15.64,NA,NA,NA,"SLA",10,-65.74,18.31,TRUE,FALSE,15.64,NA
51989,782,1226,2434,"Observations",1992-05-14 04:00:00,NA,NA,25928,15.68,NA,NA,NA,"SLA",5,-65.74,18.31,TRUE,FALSE,15.68,NA
