"","lat","lon","Climate_Koeppen_Geiger_classification","Climate_PFT_Biome_equivalent_Poulter","SRA","doi","species","species_id"
"123",6.083333333,116.55,"Af","tropical",146.9,"10.1111/1365-2435.12424","Ternstroemia coriacea",1000021034
"124",6.083333333,116.55,"Af","tropical",279.4,"10.1111/1365-2435.12424","Ternstroemia coriacea",1000021034
"125",6.083333333,116.55,"Af","tropical",357.5,"10.1111/1365-2435.12424","Lithocarpus lampadarius",1000021020
"126",6.083333333,116.55,"Af","tropical",377,"10.1111/1365-2435.12424","Lithocarpus lampadarius",1000021020
"127",6.083333333,116.55,"Af","tropical",185.3,"10.1111/1365-2435.12424","Lithocarpus lampadarius",1000021020
"128",6.083333333,116.55,"Af","tropical",249.7,"10.1111/1365-2435.12424","Lithocarpus lampadarius",1000021020
"129",6.083333333,116.55,"Af","tropical",355,"10.1111/1365-2435.12424","Magnolia carsonii",1000021024
"130",6.083333333,116.55,"Af","tropical",282,"10.1111/1365-2435.12424","Magnolia carsonii",1000021024
"131",6.083333333,116.55,"Af","tropical",299.9,"10.1111/1365-2435.12424","Magnolia carsonii",1000021024
"132",6.083333333,116.55,"Af","tropical",339.5,"10.1111/1365-2435.12424","Magnolia carsonii",1000021024
"133",6.083333333,116.55,"Af","tropical",245.4,"10.1111/1365-2435.12424","Cinnamomum subcuneatum",1000021014
"134",6.083333333,116.55,"Af","tropical",214.1,"10.1111/1365-2435.12424","Cinnamomum subcuneatum",1000021014
"135",6.083333333,116.55,"Af","tropical",326.8,"10.1111/1365-2435.12424","Cinnamomum subcuneatum",1000021014
"136",6.083333333,116.55,"Af","tropical",260.3,"10.1111/1365-2435.12424","Cinnamomum subcuneatum",1000021014
"137",6.083333333,116.55,"Af","tropical",285.3,"10.1111/1365-2435.12424","Cinnamomum subcuneatum",1000021014
"138",6.083333333,116.55,"Af","tropical",345.6,"10.1111/1365-2435.12424","Syzygium napiforme",1000021031
"139",6.083333333,116.55,"Af","tropical",259.5,"10.1111/1365-2435.12424","Syzygium napiforme",1000021031
"140",6.083333333,116.55,"Af","tropical",295.8,"10.1111/1365-2435.12424","Syzygium napiforme",1000021031
"141",6.083333333,116.55,"Af","tropical",323.6,"10.1111/1365-2435.12424","Syzygium napiforme",1000021031
"142",6.083333333,116.55,"Af","tropical",117.5,"10.1111/1365-2435.12424","Litsea ochracea",1000021022
"143",6.083333333,116.55,"Af","tropical",158.5,"10.1111/1365-2435.12424","Litsea ochracea",1000021022
"144",6.083333333,116.55,"Af","tropical",138.2,"10.1111/1365-2435.12424","Litsea ochracea",1000021022
"145",6.083333333,116.55,"Af","tropical",154.6,"10.1111/1365-2435.12424","Litsea ochracea",1000021022
"146",6.083333333,116.55,"Af","tropical",300.6,"10.1111/1365-2435.12424","Syzygium kunstleri",1000021030
"147",6.083333333,116.55,"Af","tropical",260.6,"10.1111/1365-2435.12424","Syzygium kunstleri",1000021030
"148",6.083333333,116.55,"Af","tropical",290.1,"10.1111/1365-2435.12424","Syzygium kunstleri",1000021030
"149",6.083333333,116.55,"Af","tropical",367.9,"10.1111/1365-2435.12424","Syzygium kunstleri",1000021030
