"","lat","lon","Climate_Koeppen_Geiger_classification","Climate_PFT_Biome_equivalent_Poulter","SRA","species","species_id","citation_id"
"93",6.083333333,116.55,"Af","tropical",267.6,"Lithocarpus lampadarius",1000021020,1000000174
"94",6.083333333,116.55,"Af","tropical",196.6,"Lithocarpus lampadarius",1000021020,1000000174
"95",6.083333333,116.55,"Af","tropical",268.9,"Lithocarpus lampadarius",1000021020,1000000174
"96",6.083333333,116.55,"Af","tropical",301.5,"Lithocarpus lampadarius",1000021020,1000000174
"97",6.083333333,116.55,"Af","tropical",387.6,"Phyllocladus hypophyllus",1000021026,1000000174
"98",6.083333333,116.55,"Af","tropical",265,"Phyllocladus hypophyllus",1000021026,1000000174
"99",6.083333333,116.55,"Af","tropical",332.7,"Phyllocladus hypophyllus",1000021026,1000000174
"100",6.083333333,116.55,"Af","tropical",310.8,"Phyllocladus hypophyllus",1000021026,1000000174
"101",6.083333333,116.55,"Af","tropical",450.2,"Syzygium castaneum",1000021029,1000000174
"102",6.083333333,116.55,"Af","tropical",344,"Syzygium castaneum",1000021029,1000000174
"103",6.083333333,116.55,"Af","tropical",496.1,"Syzygium castaneum",1000021029,1000000174
"104",6.083333333,116.55,"Af","tropical",425.9,"Syzygium castaneum",1000021029,1000000174
"105",6.083333333,116.55,"Af","tropical",189.7,"Madhuca endertii",1000021023,1000000174
"106",6.083333333,116.55,"Af","tropical",189.5,"Madhuca endertii",1000021023,1000000174
"107",6.083333333,116.55,"Af","tropical",204.8,"Madhuca endertii",1000021023,1000000174
"108",6.083333333,116.55,"Af","tropical",293.5,"Madhuca endertii",1000021023,1000000174
"109",6.083333333,116.55,"Af","tropical",268.1,"Lithocarpus confertus",1000021019,1000000174
"110",6.083333333,116.55,"Af","tropical",271.1,"Lithocarpus confertus",1000021019,1000000174
"111",6.083333333,116.55,"Af","tropical",414.2,"Lithocarpus confertus",1000021019,1000000174
"112",6.083333333,116.55,"Af","tropical",282.7,"Lithocarpus confertus",1000021019,1000000174
"113",6.083333333,116.55,"Af","tropical",132,"Lithocarpus confertus",1000021019,1000000174
"114",6.083333333,116.55,"Af","tropical",120.5,"Syzygium castaneum",1000021029,1000000174
"115",6.083333333,116.55,"Af","tropical",305.8,"Syzygium castaneum",1000021029,1000000174
"116",6.083333333,116.55,"Af","tropical",186.8,"Syzygium castaneum",1000021029,1000000174
"117",6.083333333,116.55,"Af","tropical",186.3,"Syzygium castaneum",1000021029,1000000174
"118",6.083333333,116.55,"Af","tropical",264,"Syzygium pachysepalum",1000021032,1000000174
"119",6.083333333,116.55,"Af","tropical",297.7,"Syzygium pachysepalum",1000021032,1000000174
"120",6.083333333,116.55,"Af","tropical",353.4,"Syzygium pachysepalum",1000021032,1000000174
"121",6.083333333,116.55,"Af","tropical",221.3,"Ternstroemia coriacea",1000021034,1000000174
"122",6.083333333,116.55,"Af","tropical",186.5,"Ternstroemia coriacea",1000021034,1000000174
"123",6.083333333,116.55,"Af","tropical",146.9,"Ternstroemia coriacea",1000021034,1000000174
"124",6.083333333,116.55,"Af","tropical",279.4,"Ternstroemia coriacea",1000021034,1000000174
"125",6.083333333,116.55,"Af","tropical",357.5,"Lithocarpus lampadarius",1000021020,1000000174
"126",6.083333333,116.55,"Af","tropical",377,"Lithocarpus lampadarius",1000021020,1000000174
"127",6.083333333,116.55,"Af","tropical",185.3,"Lithocarpus lampadarius",1000021020,1000000174
"128",6.083333333,116.55,"Af","tropical",249.7,"Lithocarpus lampadarius",1000021020,1000000174
"129",6.083333333,116.55,"Af","tropical",355,"Magnolia carsonii",1000021024,1000000174
"130",6.083333333,116.55,"Af","tropical",282,"Magnolia carsonii",1000021024,1000000174
"131",6.083333333,116.55,"Af","tropical",299.9,"Magnolia carsonii",1000021024,1000000174
