"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case","use","proposed_bety_name","reviewed","bety_name"
"27","Cinnamomum camphora",335,TRUE,"Cinnamomum camphora",335,TRUE,"iPlant_TNRS",1,"(L.) J. Presl","http://www.tropicos.org/Name/17805257",1,"submit","Cinnamomum camphora",TRUE,"Cinnamomum camphora"
"28","Clusia stenophylla",50136,TRUE,"Clusia stenophylla",50136,TRUE,"iPlant_TNRS",1,"Standl.","http://www.tropicos.org/Name/7800243",1,"submit","Clusia stenophylla",TRUE,"Clusia stenophylla"
"29","Cochlospermum vitifolium",39878,TRUE,"Cochlospermum vitifolium",39878,TRUE,"iPlant_TNRS",1,"(Willd.) Spreng.","http://www.tropicos.org/Name/8000014",1,"submit","Cochlospermum vitifolium",TRUE,"Cochlospermum vitifolium"
"30","Cordia alliodora",380,TRUE,"Cordia alliodora",380,TRUE,"iPlant_TNRS",1,"(Ruiz & Pav.) Oken","http://www.tropicos.org/Name/4001123",1,"submit","Cordia alliodora",TRUE,"Cordia alliodora"
"31","Cordia cymosa",1000003422,TRUE,"Cordia cymosa",1000003422,TRUE,"iPlant_TNRS",1,"(Donn. Sm.) Standl.","http://www.tropicos.org/Name/4001646",1,"submit","Cordia cymosa",TRUE,"Cordia cymosa"
"32","Cordia lasiocalyx",1000003442,TRUE,"Cordia lasiocalyx",1000003442,TRUE,"iPlant_TNRS",1,"Pittier","http://www.tropicos.org/Name/4000309",1,"submit","Cordia lasiocalyx",TRUE,"Cordia lasiocalyx"
"33","Cordia lucidula",1000003446,TRUE,"Cordia lucidula",1000003446,TRUE,"iPlant_TNRS",1,"I.M. Johnst.","http://www.tropicos.org/Name/4001221",1,"submit","Cordia lucidula",TRUE,"Cordia lucidula"
"34","Cordia nodosa",1000003459,TRUE,"Cordia nodosa",1000003459,TRUE,"iPlant_TNRS",1,"Lam.","http://www.tropicos.org/Name/4001143",1,"submit","Cordia nodosa",TRUE,"Cordia nodosa"
"35","Cordia panamensis",1000003460,TRUE,"Cordia panamensis",1000003460,TRUE,"iPlant_TNRS",1,"L. Riley","http://www.tropicos.org/Name/4001223",1,"submit","Cordia panamensis",TRUE,"Cordia panamensis"
"36","Cordia trichotoma",1000020866,TRUE,"Cordia trichotoma",1000020866,TRUE,"iPlant_TNRS",1,"(Vell.) Arráb. ex Steud.","http://www.tropicos.org/Name/4002034",1,"submit","Cordia trichotoma",TRUE,"Cordia trichotoma"
"37","Crescentia alata",5807,TRUE,"Crescentia alata",5807,TRUE,"iPlant_TNRS",1,"Kunth","http://www.tropicos.org/Name/3700258",1,"submit","Crescentia alata",TRUE,"Crescentia alata"
"38","Croton billbergianus",1000003773,TRUE,"Croton billbergianus",1000003773,TRUE,"iPlant_TNRS",1,"Müll. Arg.","http://www.tropicos.org/Name/12800819",1,"submit","Croton billbergianus",TRUE,"Croton billbergianus"
"39","Cupania guatemalensis",1000003887,TRUE,"Cupania guatemalensis",1000003887,TRUE,"iPlant_TNRS",1,"(Turcz.) Radlk.","http://www.tropicos.org/Name/28600609",1,"submit","Cupania guatemalensis",TRUE,"Cupania guatemalensis"
"40","Curatella americana",1000003910,TRUE,"Curatella americana",1000003910,TRUE,"iPlant_TNRS",1,"L.","http://www.tropicos.org/Name/10900124",1,"submit","Curatella americana",TRUE,"Curatella americana"
"41","Dendropanax latilobus",1000004162,TRUE,"Dendropanax latilobus",1000004162,TRUE,"iPlant_TNRS",1,"M.J. Cannon & Cannon","http://www.tropicos.org/Name/2200747",1,"submit","Dendropanax latilobus",TRUE,"Dendropanax latilobus"
"42","Drimys granadensis",1000004518,TRUE,"Drimys granadensis",1000004518,TRUE,"iPlant_TNRS",1,"L. f.","http://www.tropicos.org/Name/34200005",1,"submit","Drimys granadensis",TRUE,"Drimys granadensis"
"43","Enterolobium cyclocarpum",3762,TRUE,"Enterolobium cyclocarpum",3762,TRUE,"iPlant_TNRS",1,"(Jacq.) Griseb.","http://www.tropicos.org/Name/13030083",1,"submit","Enterolobium cyclocarpum",TRUE,"Enterolobium cyclocarpum"
"44","Erythrina costaricensis",1000004822,TRUE,"Erythrina costaricensis",1000004822,TRUE,"iPlant_TNRS",1,"Micheli","http://www.tropicos.org/Name/13009263",1,"submit","Erythrina costaricensis",TRUE,"Erythrina costaricensis"
"45","Erythroxylum suberosum",1000004882,TRUE,"Erythroxylum suberosum",1000004882,TRUE,"iPlant_TNRS",1,"A. St.-Hil.","http://www.tropicos.org/Name/12500266",1,"submit","Erythroxylum suberosum",TRUE,"Erythroxylum suberosum"
"46","Eugenia nesiotica",1000005068,TRUE,"Eugenia nesiotica",1000005068,TRUE,"iPlant_TNRS",1,"Standl.","http://www.tropicos.org/Name/22102097",1,"submit","Eugenia nesiotica",TRUE,"Eugenia nesiotica"
