"","studyName","lai","light","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc"
"145","Tange2010","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","m4","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"146","Terashi1982","","","","e1","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"147","Tissue0000a","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","","","","","","","","m3","","","","m3","","","","","m3","","","","","","","","","","","","",""
"148","Tissue0000b","","","","a1,x7,x1","","","","","","",NA,"",NA,"","","","","","?","","","","","","m3","","","","m3","","","","","m3","","","","","","","","","","","","",""
"149","Tissue0000c","","","","a1,x7,x1,a4","","","","","","",NA,"",NA,"","","","","","","","","","","","m3","","","","m3","","","","","","","","?","","","","","?","","","","",""
"150","Utsugi0000","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","x1,m3","","","","j,e2,m3","m3","m3","","","","","","","","","","","","","","","",""
"151","Utsugi2004","","","","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx1,1","","","","j,e2,m3","m3","m3","","","","","","","","","","","","","","","",""
"152","Valladares2000","","","","a1,x1,k3","","","","","","",NA,"",NA,"","","","?","?","?","?","","","","","m3,x1","","","","","","","","","","?","?","a1,m3,x1,x3","x2","","","","","","","","",""
"153","vanBreugel2011","","","","","","","","","","",NA,"",NA,"","","","k3","","?","d6","v3","d3","","","m3,x1","","","","m3","m3","m3","","","","","","","","","","","","","","","",""
"154","Vanninen2005","","","n1","e1,a5","","","","","","",NA,"",NA,"","","","","","c,d7,p3","c,d7,p3","","d3","","","m4,x1,k4","j","j","","j,v2,v1","","k4","r1,m4","m4","","","","","","","","","","","","","",""
"155","Wang1995","","","","","","","","","","",NA,"",NA,"","","","","","?","","","?","","","m3,x1","","","m3","m3","m3","m3","","","","","","","","","","","","","","","",""
"156","Wang1996","","","","","","","","","","",NA,"",NA,"","","","","","?","","","?","","","m3,x1","","","m3","m3","m3","m3","","","","","","","","","","","","","","","",""
"157","Wang2000","","","","","","","","","","",NA,"",NA,"","","","","","?","?","?","?","","","m3,x1","","","m3","m3","","m3","m3","m3","","m3","","","","","","","","","","","",""
"158","Wang2011","","","?","a5","","","","","","",NA,"",NA,"","","","","","c,d7,p3","","c,d7,p3","","","","m3","","","","m3","","m3","","","","m3","","","","","","","","","","","",""
"159","Watanabe1984","","","?","e1,x1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","e2,m4","m4","m4","","","","","","","","","","","","","","","",""
"160","Watanabe1985","","","?","e1,x1","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"161","Wenk0000","","","n2","e1,b1","","","","","","",NA,"",NA,"d1,p2","","","","","p3","","d1,p2","","","","m3","","","","m3","m3","","","","","","x1,x8","m3,x1,x8","","","","","","","","","",""
"162","Whittaker1974","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1,k4","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"163","Williams2005","","","","k1","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","m3,x1","","","m3","e2,m3,j","e2,m3,j","e2,m3,j","","","","","","","","","","","","","","","",""
"164","Ximenes2004","","","","","","","","","","",NA,"",NA,"","","","","","?","","","?","","","","","","?","","?","","","","","","","","","","","","","","","","",""
"165","Yamaba2007","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","m4","m4","m4","","","m4","m4","","","","","","","","","","","",""
"166","Yamada1957","","","?","","","","","","","",NA,"",NA,"","","","","","?","?","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"167","Yamada1996","","","","","","","","","","",NA,"",NA,"","","","?","","?","?","?","?","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"168","Yamada2000","","","","","","","","","","",NA,"",NA,"","","","f","","?","?","?","?","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"169","Yamaji1991","","","?","e1,a4","","","","","","",NA,"",NA,"","","?","","","?","?","","d3","","","m4","","","","m4","m4","m4","","","","","","","","","","","","","","","",""
"170","Yamakura1972","","","","","","","","","","",NA,"",NA,"","",NA,"","",NA,NA,NA,"d3","f","","m4,x1,x1","","","","m4,x1,j","m4,x1","m4,x1","","","m4,x1","m4,x1","","","","","","","","","","","",""
"171","Yamakura1986","","","","e1,a1,x1","","","","","","",NA,"",NA,"","","","","","?","?","d1,f","d3","?","","m4,x1","","","","m4","","m4","","","","","","","","","","","","","","","",""
"172","Yasui1970","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","e2,m4,j","m4","m4","","","","","","","","","","","","","","","",""
"173","Yasui1971","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","e2,m4,j","m4","m4","","","","","","","","","","","","","","","",""
"174","Yasui1983","","","?","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","m4,x1","","","","e2,m4,j","m4","m4","","","","","","","","","","","","","","","",""
"175","Yi1989","","","","","","","","","","",NA,"",NA,"","","","","","?","","","d3","","","mx","","","","mx","mx","mx","","","","","","","","","","","","","","","",""
"176","Yoda1978","","","","a1,e1,a4,x1","","","","","","",NA,"",NA,"","","?","","","?","?","?","d3","","","x1,m4","","","","j,e2,m4","m4","m4","","","","","","","","","","","","","","","",""
