"","Cft","WD","SLA","Organ","Biome","lon","lat","species","citation_id"
"52",171.4,0.41,14.1,"Xylem","Tropical rainforest",-79.55,8.98333333,"Astronium graveolens",1000000071
"53",347.64,0.37,NA,"Xylem","Tropical rainforest",-79.55,8.98333333,"Cordia alliodora",1000000071
"54",195.07,0.27,16.1,"Xylem","Tropical rainforest",-79.55,8.98333333,"Luehea seemannii",1000000071
"55",251.4128818,0.19,NA,"Xylem","Tropical rainforest",-79.846036,9.166666667,"Ochroma pyramidale",1000000061
"56",95,0.19,NA,"Xylem","Tropical rainforest",-79.846036,9.166666667,"Ochroma pyramidale",1000000061
"57",111.7163481,0.25,7.762471166,"Xylem","Tropical rainforest",-79.846036,9.166666667,"Pseudobombax septenatum",1000000061
"58",60,0.25,7.762471166,"Xylem","Tropical rainforest",-79.846036,9.166666667,"Pseudobombax septenatum",1000000061
"59",300,0.39,10.83926914,"Xylem","Tropical seasonal forest",-79.85,9.166666667,"Anacardium excelsum",1000000079
"60",80,0.52,NA,"Xylem","Tropical seasonal forest",-79.85,9.166666667,"Cordia alliodora",1000000079
"61",230,0.29,NA,"Xylem","Tropical seasonal forest",-79.85,9.166666667,"Ficus insipida",1000000079
"62",415,0.28,NA,"Xylem","Tropical seasonal forest",-79.85,9.166666667,"Schefflera morototoni",1000000079
"63",142.9625863,0.390097712,10.83926914,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Anacardium excelsum",1000000124
"64",51.42868505,0.520247451,NA,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Cordia alliodora",1000000124
"65",82.24273705,0.400137312,NA,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Ficus insipida",1000000124
"66",262,0.376555556,NA,"Xylem","Tropical seasonal forest",-79.85,9.166666667,"Ficus insipida",1000000124
"67",31.18344299,0.665210733,NA,"Xylem","Tropical rainforest",-80.001385,9.322863,"Manilkara bidentata",1000000124
"68",153,0.872933333,NA,"Xylem","Tropical rainforest",-79.975,9.283333333,"Manilkara bidentata",1000000124
"69",282,0.452333333,NA,"Xylem","Tropical rainforest",-79.975,9.283333333,"Protium panamense",1000000124
"70",200.8621236,0.279688601,NA,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Schefflera morototoni",1000000124
"71",302,0.521,NA,"Xylem","Tropical rainforest",-79.975,9.283333333,"Tachigali versicolor",1000000124
"72",54.50311922,0.520305811,NA,"Xylem","Tropical rainforest",-80.001385,9.322863,"Tapirira guianensis",1000000124
"73",337,0.457,NA,"Xylem","Tropical rainforest",-79.975,9.283333333,"Tapirira guianensis",1000000124
"74",97.03223746,0.540195858,NA,"Xylem","Tropical rainforest",-80.001385,9.322863,"Trattinnickia aspera",1000000124
"75",411,0.424,NA,"Xylem","Tropical rainforest",-79.975,9.283333333,"Trattinnickia aspera",1000000124
"76",407,0.410166667,NA,"Xylem","Tropical rainforest",-79.975,9.283333333,"Vochysia ferruginea",1000000124
"77",67.53855274,0.559462486,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Blepharocalyx salicifolius",1000000106
"78",73,0.56,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Blepharocalyx salicifolius",1000000106
"79",83,0.53,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Byrsonima crassa",1000000106
"80",73.82226809,0.589641657,8.511380382,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Caryocar brasiliense",1000000106
"81",40,0.59,8.511380382,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Caryocar brasiliense",1000000106
"82",107,0.5,4.897788194,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Kielmeyera coriacea",1000000106
"83",89.43341979,0.569652856,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Qualea parviflora",1000000106
"84",67,0.569,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Qualea parviflora",1000000106
"85",55.58797211,0.539473684,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Schefflera macrocarpa",1000000106
"86",85,0.54,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Schefflera macrocarpa",1000000106
"87",38,0.62,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Sclerolobium paniculatum",1000000106
"88",157,0.42,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Vochysia thyrsoidea",1000000106
"89",122.7421893,0.456,NA,"Xylem","Tropical rainforest",-79.86666667,9.13333333,"Schefflera morototoni",1000000107
