"","Ptlp","WD","SLA","Organ","Biome","citation_id","site_id","species_id"
"258",-1.15,"0.51","NA","Leaf","Tropical rainforest",1000000135,1000026724,19251
"259",-1.7,"0.51","NA","Leaf","Tropical rainforest",1000000135,1000026724,19251
"260",-1.28,"0.52","NA","Leaf","Tropical rainforest",1000000135,1000026724,1000020943
"261",-1.77,"0.52","NA","Leaf","Tropical rainforest",1000000135,1000026724,1000020943
"262",-2.1576697,"0.513","NA","Xylem","Tropical seasonal forest",1000000103,1000026716,1000020862
"263",-2.904004036,"0.697","NA","Xylem","Tropical seasonal forest",1000000103,1000026716,41267
"264",-2.080381587,"0.464535059","NA","Xylem","Tropical seasonal forest",1000000103,1000026716,13388
"265",-1.523878946,"0.33","NA","Xylem","Tropical seasonal forest",1000000103,1000026716,24450
"266",-1.765703888,"0.659035123","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000020863
"267",-1.037239621,"0.528022175","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000001911
"268",-0.609459516,"0.491526273","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000002385
"269",-0.560636897,"0.30827275","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000020865
"270",-1.344317635,"0.59504569","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000002727
"271",-2.345513715,"0.508058826","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000020866
"272",-0.836263697,"0.858303343","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000020867
"273",-0.834566828,"0.697730064","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000020869
"274",-1.935477671,"0.540559839","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000020870
"275",-0.738389516,"0.757215075","NA","Xylem","Subtropical Forest",1000000104,1000026715,1000020871
"276",-0.96,"0.35","8.47","Xylem","Tropical rainforest",1000000071,2000000002,49943
"277",-1.43,"0.27","15.3","Xylem","Tropical rainforest",1000000071,2000000002,49953
"278",-2.66,"0.37","15.7","Xylem","Tropical rainforest",1000000071,2000000002,1000011255
"279",-2.82,"0.41","14.1","Xylem","Tropical rainforest",1000000071,2000000002,49993
"280",-1.78,"0.37","NA","Xylem","Tropical rainforest",1000000071,2000000002,380
"281",-2.3,"0.27","16.1","Xylem","Tropical rainforest",1000000071,2000000002,50567
"282",-0.882677991,"0.19","NA","Xylem","Tropical rainforest",1000000061,1000005005,25655
"283",-1.137595182,"0.25","7.762471166","Xylem","Tropical rainforest",1000000061,1000005005,50836
"284",-1.325050278,"0.390097712","10.83926914","Xylem","Tropical rainforest",1000000124,2000000002,49943
"285",-2.94416607,"0.520247451","NA","Xylem","Tropical rainforest",1000000124,2000000002,380
"286",-1.625012782,"0.400137312","NA","Xylem","Tropical rainforest",1000000124,2000000002,1000005277
"287",-2.565804274,"0.665210733","NA","Xylem","Tropical rainforest",1000000124,2000000003,43171
"288",-0.86,"0.279688601","NA","Xylem","Tropical rainforest",1000000124,2000000002,51206
"289",-1.645464771,"0.520305811","NA","Xylem","Tropical rainforest",1000000124,2000000003,1000014356
"290",-0.929645158,"0.540195858","NA","Xylem","Tropical rainforest",1000000124,2000000003,1000014798
"291",-1.563656816,"0.559462486","NA","Xylem","Tropical seasonal forest",1000000153,1000025739,1000001544
"292",-1.318232948,"0.589641657","8.511380382","Xylem","Tropical seasonal forest",1000000153,1000025739,10238
"293",-1.492074854,"0.569652856","NA","Xylem","Tropical seasonal forest",1000000153,1000025739,1000012111
"294",-1.563656816,"0.539473684","NA","Xylem","Tropical seasonal forest",1000000153,1000025739,1000020872
