"","Ptlp","WD","SLA","Organ","Biome","lon","lat","species","citation_id"
"232",-2.27,0.666457143,18.83239171,"Leaf","Tropical rainforest",-54.33333333,-25.61666667,"Balfourodendron riedelianum",1000000160
"233",-1.28,0.4666,31.25,"Leaf","Tropical rainforest",-54.33333333,-25.61666667,"Cedrela fissilis",1000000160
"234",-1.58,0.688,17.57469244,"Leaf","Tropical rainforest",-54.33333333,-25.61666667,"Cordia americana",1000000160
"235",-1.85,0.794526667,23.98081535,"Leaf","Tropical rainforest",-54.33333333,-25.61666667,"Maclura tinctoria",1000000160
"236",-1.36,0.74388,32.78688525,"Leaf","Tropical rainforest",-54.33333333,-25.61666667,"Peltophorum dubium",1000000160
"237",-2.5,0.91,5.952380952,"Leaf","Tropical seasonal forest",-43.75,-22.25,"Bowdichia virgilioides",1000000161
"238",-2.2,0.65,8.474576271,"Leaf","Tropical seasonal forest",-43.75,-22.25,"Caryocar brasiliense",1000000161
"239",-2.73,0.705,15.92356688,"Leaf","Tropical seasonal forest",-43.75,-22.25,"Casearia sylvestris",1000000161
"240",-2.63,0.45,6.711409396,"Leaf","Tropical seasonal forest",-43.75,-22.25,"Connarus suberosus",1000000161
"241",-1.75,0.65,6.25,"Leaf","Tropical seasonal forest",-43.75,-22.25,"Piptocarpha rotundifolia",1000000161
"242",-1.27,0.36,12.76,"Leaf","Tropical seasonal forest",-85.594,10.718,"Bursera simarouba",1000000109
"243",-2.33,0.61,12.66,"Leaf","Tropical seasonal forest",-85.594,10.718,"Casearia corymbosa",1000000109
"244",-2.68,0.64,21.41,"Leaf","Tropical seasonal forest",-85.594,10.718,"Casearia sylvestris",1000000109
"245",-1.77,0.18,17.6,"Leaf","Tropical seasonal forest",-85.594,10.718,"Cochlospermum vitifolium",1000000109
"246",-3.86,0.55,8.33,"Leaf","Tropical seasonal forest",-85.594,10.718,"Crescentia alata",1000000109
"247",-2.28,0.6,15.45,"Leaf","Tropical seasonal forest",-85.594,10.718,"Cupania guatemalensis",1000000109
"248",-2.59,0.38,7,"Leaf","Tropical seasonal forest",-85.594,10.718,"Enterolobium cyclocarpum",1000000109
"249",-2.04,0.74,13.34,"Leaf","Tropical seasonal forest",-85.594,10.718,"Guazuma ulmifolia",1000000109
"250",-1.68,0.84,11.68,"Leaf","Tropical seasonal forest",-85.594,10.718,"Hymenea courbaril",1000000109
"251",-2.59,0.78,18.12,"Leaf","Tropical seasonal forest",-85.594,10.718,"Maclura tinctoria",1000000109
"252",-2.4,0.68,27.69,"Leaf","Tropical seasonal forest",-85.594,10.718,"Myrospermum frutescens",1000000109
"253",-2.4,0.64,14.15,"Leaf","Tropical seasonal forest",-85.594,10.718,"Piscidia carthagenensis",1000000109
"254",-1.81,0.51,18.73,"Leaf","Tropical seasonal forest",-85.594,10.718,"Semialarium mexicanum",1000000109
"255",-1.88,0.53,9.13,"Leaf","Tropical seasonal forest",-85.594,10.718,"Tabebuia rosea",1000000109
"256",-1,0.56,NA,"Leaf","Tropical rainforest",101.7666667,21.9,"Baccaurea ramiflora",1000000135
"257",-1.56,0.56,NA,"Leaf","Tropical rainforest",101.7666667,21.9,"Baccaurea ramiflora",1000000135
"258",-1.15,0.51,NA,"Leaf","Tropical rainforest",101.7666667,21.9,"Bauhinia variegate",1000000135
"259",-1.7,0.51,NA,"Leaf","Tropical rainforest",101.7666667,21.9,"Bauhinia variegate",1000000135
"260",-1.28,0.52,NA,"Leaf","Tropical rainforest",101.7666667,21.9,"Syzygium szemaoense",1000000135
"261",-1.77,0.52,NA,"Leaf","Tropical rainforest",101.7666667,21.9,"Syzygium szemaoense",1000000135
"262",-2.1576697,0.513,NA,"Xylem","Tropical seasonal forest",-95.255601,38.954074,"Albizia guachapele",1000000103
"263",-2.904004036,0.697,NA,"Xylem","Tropical seasonal forest",-95.255601,38.954074,"Calycophyllum candidissimum",1000000103
"264",-2.080381587,0.464535059,NA,"Xylem","Tropical seasonal forest",-95.255601,38.954074,"Simarouba glauca",1000000103
"265",-1.523878946,0.33,NA,"Xylem","Tropical seasonal forest",-95.255601,38.954074,"Spondias purpurea",1000000103
"266",-1.765703888,0.659035123,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Balfourodendron riedelianum",1000000104
"267",-1.037239621,0.528022175,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Cabralea canjerana",1000000104
"268",-0.609459516,0.491526273,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Cedrela fissilis",1000000104
"269",-0.560636897,0.30827275,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Ceiba speciosa",1000000104
"270",-1.344317635,0.59504569,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Chrysophyllum gonocarpum",1000000104
"271",-2.345513715,0.508058826,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Cordia trichotoma",1000000104
"272",-0.836263697,0.858303343,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Holocalyx balansae",1000000104
"273",-0.834566828,0.697730064,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Lonchocarpus muehlbergianus",1000000104
"274",-1.935477671,0.540559839,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Ocotea diospyrifolia",1000000104
"275",-0.738389516,0.757215075,NA,"Xylem","Subtropical Forest",-54.13333333,-25.51666667,"Parapiptadenia rigida",1000000104
"276",-0.96,0.35,8.47,"Xylem","Tropical rainforest",-79.55,8.98333333,"Anacardium excelsum",1000000071
"277",-1.43,0.27,15.3,"Xylem","Tropical rainforest",-79.55,8.98333333,"Annona spraguei",1000000071
"278",-2.66,0.37,15.7,"Xylem","Tropical rainforest",-79.55,8.98333333,"Antirrhea trichantha",1000000071
"279",-2.82,0.41,14.1,"Xylem","Tropical rainforest",-79.55,8.98333333,"Astronium graveolens",1000000071
"280",-1.78,0.37,NA,"Xylem","Tropical rainforest",-79.55,8.98333333,"Cordia alliodora",1000000071
"281",-2.3,0.27,16.1,"Xylem","Tropical rainforest",-79.55,8.98333333,"Luehea seemannii",1000000071
"282",-0.882677991,0.19,NA,"Xylem","Tropical rainforest",-79.846036,9.166666667,"Ochroma pyramidale",1000000061
"283",-1.137595182,0.25,7.762471166,"Xylem","Tropical rainforest",-79.846036,9.166666667,"Pseudobombax septenatum",1000000061
"284",-1.325050278,0.390097712,10.83926914,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Anacardium excelsum",1000000124
"285",-2.94416607,0.520247451,NA,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Cordia alliodora",1000000124
"286",-1.625012782,0.400137312,NA,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Ficus insipida",1000000124
"287",-2.565804274,0.665210733,NA,"Xylem","Tropical rainforest",-80.001385,9.322863,"Manilkara bidentata",1000000124
"288",-0.86,0.279688601,NA,"Xylem","Tropical rainforest",-79.54694444,8.98561944,"Schefflera morototoni",1000000124
"289",-1.645464771,0.520305811,NA,"Xylem","Tropical rainforest",-80.001385,9.322863,"Tapirira guianensis",1000000124
"290",-0.929645158,0.540195858,NA,"Xylem","Tropical rainforest",-80.001385,9.322863,"Trattinnickia aspera",1000000124
"291",-1.563656816,0.559462486,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Blepharocalyx salicifolius",1000000153
"292",-1.318232948,0.589641657,8.511380382,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Caryocar brasiliense",1000000153
"293",-1.492074854,0.569652856,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Qualea parviflora",1000000153
"294",-1.563656816,0.539473684,NA,"Xylem","Tropical seasonal forest",-47.88333333,-15.93333333,"Schefflera macrocarpa",1000000153
"295",-0.861749918,0.456,NA,"Xylem","Tropical rainforest",-79.86666667,9.13333333,"Schefflera morototoni",1000000132
