"","Ptlp","WD","SLA","Organ","Biome","lon","lat","species","citation_id"
"54",-1.743106667,0.792,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Aspidosperma excelsum",1000000148
"55",-2.1286,1.053666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Bocoa prouacensis",1000000148
"56",-1.96012,1.053666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Bocoa prouacensis",1000000148
"57",-2.306093333,1.053666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Bocoa prouacensis",1000000148
"58",-2.227746667,1.053666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Bocoa prouacensis",1000000148
"59",-1.6086,1.053666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Bocoa prouacensis",1000000148
"60",-2.24924,1.053666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Bocoa prouacensis",1000000148
"61",-2.08284,1.053666667,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Bocoa prouacensis",1000000148
"62",-2.279746667,0.825142857,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Brosimum rubescens",1000000148
"63",-1.744493333,0.5638125,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Carapa procera",1000000148
"64",-2.0246,0.5638125,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Carapa procera",1000000148
"65",-2.04124,0.5638125,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Carapa procera",1000000148
"66",-1.8686,0.5638125,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Carapa procera",1000000148
"67",-1.955266667,0.5638125,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Carapa procera",1000000148
"68",-1.879693333,0.653571429,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Caryocar glabrum",1000000148
"69",-2.054413333,0.82,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Cassipourea guianensis",1000000148
"70",-1.4474,0.6714,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Chrysophyllum sanguinolentum",1000000148
"71",-1.69596,0.54325,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Conceveiba guianensis",1000000148
"72",-1.94972,0.409,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Cordia sagotii",1000000148
"73",-1.8686,0.409,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Cordia sagotii",1000000148
"74",-2.25548,0.77,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Couepia bracteosa",1000000148
"75",-1.86756,0.77,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Couepia caryophylloides",1000000148
"76",-1.971906667,0.505,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Couratari oblongifolia",1000000148
"77",-1.751426667,0.505,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Couratari oblongifolia",1000000148
"78",-2.13484,0.628,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Cupania scrobiculata",1000000148
"79",-1.511533333,0.5912,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Dicorynia guianensis",1000000148
"80",-1.58468,0.5912,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Dicorynia guianensis",1000000148
"81",-2.344226667,0.5912,NA,"Leaf","Tropical rainforest",-52.66666667,4.08333333,"Dicorynia guianensis",1000000148
