"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"58",58,"GLIRICIDIA SEPIUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"59",59,"GUAPIRA NOXIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"60",60,"GUAREA GUIDONIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"61",61,"GUAZUMA ULMIFOLIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"62",62,"GUSTAVIA SUPERBA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"63",63,"HEDYOSMUM GOUDOTIANUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"64",64,"HEDYOSMUM MEXICANUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"65",65,"HEVEA BRASILIENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"66",66,"HOLOCALYX BALANSAE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"67",67,"HYMENAEA COURBARIL",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"68",68,"HYMENAEA MARTIANA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"69",69,"HYMENAEA STIGNOCARPA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"70",70,"HYMENEA COURBARIL",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"71",71,"INGA VERA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"72",72,"IPOMOEA WOLCOTTIANA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"73",73,"KIELMEYERA CORIACEA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"74",74,"KLEINHOVIA HOSPITA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"75",75,"LAGERSTROEMIA TOMENTOSA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"76",76,"LAGUNCULARIA RACEMOSA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"77",77,"LONCHOCARPUS MUEHLBERGIANUS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"78",78,"LUEHEA SEEMANNII",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"79",79,"MACLURA TINCTORIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"80",80,"MANILKARA BIDENTATA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"81",81,"MANILKARA CHICLE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"82",82,"MICONIA ARGENTEA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"83",83,"MICONIA CUSPIDATA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"84",84,"MICONIA POHLIANA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"85",85,"MORISONIA AMERICANA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"86",86,"MYRIOCARPA LONGIPES",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"87",87,"MYROSPERMUM FRUTESCENS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"88",88,"MYRSINE FERRUGINEA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"89",89,"MYRSINE GUIANENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"90",90,"OCHROMA PYRAMIDALE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"91",91,"OCOTEA DIOSPYRIFOLIA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"92",92,"OURATEA LUCENS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"93",93,"PARAPIPTADENIA RIGIDA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"94",94,"PIPER RETICULATUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"95",95,"PISCIDIA CARTHAGENENSIS",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"96",96,"PITHECELLOBIUM DULCE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"97",97,"PITTONIOTIS TRICHANTHA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"98",98,"POUROUMA BICOLOR",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"99",99,"PRIORIA COPAIFERA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"100",100,"PROTIUM PANAMENSE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"101",101,"PSEUDOBOMBAX SEPTENATUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"102",102,"PSIDIUM SARTORIANUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"103",103,"QUALEA PARVIFLORA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"104",104,"RHIZOPHORA MANGLE",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"105",105,"SCHEFFLERA MACROCARPA",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"106",106,"SCHEFFLERA MOROTOTONI",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"107",107,"SCLEROLOBIUM PANICULATUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
"108",108,"SEMIALARIUM MEXICANUM",NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,0
