"","X","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","sourceid","score","authority","uri","case"
"36",36,"COCHLOSPERMUM VITIFOLIUM",39878,TRUE,"Cochlospermum vitifolium",39878,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/8000014",1
"37",37,"CORDIA ALLIODORA",380,TRUE,"Cordia alliodora",380,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/246517",1
"38",38,"CORDIA CYMOSA",1000003422,TRUE,"Cordia cymosa",1000003422,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/4001646",1
"39",39,"CORDIA LASIOCALYX",1000003442,TRUE,"Cordia lasiocalyx",1000003442,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/681426",1
"40",40,"CORDIA LUCIDULA",1000003446,TRUE,"Cordia lucidula",1000003446,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/4001221",1
"41",41,"CORDIA NODOSA",1000003459,TRUE,"Cordia nodosa",1000003459,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/79332",1
"42",42,"CORDIA PANAMENSIS",1000003460,TRUE,"Cordia panamensis",1000003460,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/4001223",1
"43",43,"CORDIA TRICHOTOMA",NA,FALSE,"Cordia trichotoma",NA,FALSE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/181186",11
"44",44,"CRESCENTIA ALATA",5807,TRUE,"Crescentia alata",5807,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/3700258",1
"45",45,"CROTON BILLBERGIANUS",1000003773,TRUE,"Croton billbergianus",1000003773,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/12800819",1
"46",46,"CUPANIA GUATEMALENSIS",1000003887,TRUE,"Cupania guatemalensis",1000003887,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/28600609",1
"47",47,"CURATELLA AMERICANA",1000003910,TRUE,"Curatella americana",1000003910,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/10900124",1
"48",48,"DENDROPANAX LATILOBUS",1000004162,TRUE,"Dendropanax latilobus",1000004162,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/2200747",1
"49",49,"DRIMYS GRANADENSIS",1000004518,TRUE,"Drimys granadensis",1000004518,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/224735",1
"50",50,"ENTEROLOBIUM CYCLOCARPUM",3762,TRUE,"Enterolobium cyclocarpum",3762,TRUE,"NCBI","1",NA,"https://www.ncbi.nlm.nih.gov/taxonomy/54878",1
"51",51,"ERYTHRINA COSTARICENSIS",1000004822,TRUE,"Erythrina costaricensis",1000004822,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/13009263",1
"52",52,"ERYTHROXYLUM SUBEROSUM",1000004882,TRUE,"Erythroxylum suberosum",1000004882,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/12500266",1
"53",53,"EUCALYPTUS GRANDIS",522,TRUE,"Eucalyptus grandis",522,TRUE,"iPlant_TNRS","1",NA,"http://www.tropicos.org/Name/100187894",1
