"","submit_name","submit_bety_id","submit_in_PFT","accept_name","accept_bety_id","accept_in_PFT","case"
"95","Piscidia carthagenensis",25287,TRUE,"Piscidia carthagenensis",25287,TRUE,1
"96","Pithecellobium dulce",25660,TRUE,"Pithecellobium dulce",25660,TRUE,1
"97","Pittoniotis trichantha",1000011255,TRUE,"Pittoniotis trichantha",1000011255,TRUE,1
"98","Pourouma bicolor",1000011418,TRUE,"Pourouma bicolor",1000011418,TRUE,1
"99","Prioria copaifera",50795,TRUE,"Prioria copaifera",50795,TRUE,1
"100","Protium panamense",1000011665,TRUE,"Protium panamense",1000011665,TRUE,1
"101","Pseudobombax septenatum",50836,TRUE,"Pseudobombax septenatum",50836,TRUE,1
"102","Psidium sartorianum",1000011797,TRUE,"Psidium sartorianum",1000011797,TRUE,1
"103","Qualea parviflora",1000012111,TRUE,"Qualea parviflora",1000012111,TRUE,1
"104","Rhizophora mangle",1196,TRUE,"Rhizophora mangle",1196,TRUE,1
"106","Schefflera morototoni",51206,TRUE,"Schefflera morototoni",51206,TRUE,1
"109","Senna dariensis",1000013190,TRUE,"Senna dariensis",1000013190,TRUE,1
"110","Simarouba amara",50962,TRUE,"Simarouba amara",50962,TRUE,1
"112","Spondias purpurea",24450,TRUE,"Spondias purpurea",24450,TRUE,1
"115","Swietenia macrophylla",1354,TRUE,"Swietenia macrophylla",1354,TRUE,1
"118","Syzygium cumini",36558,TRUE,"Syzygium cumini",36558,TRUE,1
"119","Tabebuia rosea",2834,TRUE,"Tabebuia rosea",2834,TRUE,1
"121","Tachigali versicolor",50999,TRUE,"Tachigali versicolor",50999,TRUE,1
"122","Tapirira guianensis",1000014356,TRUE,"Tapirira guianensis",1000014356,TRUE,1
"123","Terminalia amazonia",1000014401,TRUE,"Terminalia amazonia",1000014401,TRUE,1
"124","Trattinnickia aspera",1000014798,TRUE,"Trattinnickia aspera",1000014798,TRUE,1
"125","Virola sebifera",25996,TRUE,"Virola sebifera",25996,TRUE,1
"126","Vismia billbergiana",1000015206,TRUE,"Vismia billbergiana",1000015206,TRUE,1
"127","Vochysia ferruginea",1000015271,TRUE,"Vochysia ferruginea",1000015271,TRUE,1
"129","Xylopia macrantha",1000015453,TRUE,"Xylopia macrantha",1000015453,TRUE,1
"130","Zanthoxylum panamense",51088,TRUE,"Zanthoxylum panamense",51088,TRUE,1
"131","Zuelania guidonia",51093,TRUE,"Zuelania guidonia",51093,TRUE,1
"73","Kielmeyera coriacea",50498,FALSE,"Kielmeyera coriacea",50498,FALSE,2
"111","Simarouba glauca",13388,FALSE,"Simarouba glauca",13388,FALSE,2
"8","Antirrhea trichantha",NA,FALSE,"Pittoniotis trichantha",1000011255,TRUE,7
"10","Aspidosperma cruenta",NA,FALSE,"Aspidosperma desmanthum",1000000969,TRUE,7
"16","Bursera simarouba",NA,FALSE,"Bursera simaruba",227,TRUE,7
"32","Chrysophllum cainito",NA,FALSE,"Chrysophyllum cainito",28944,TRUE,7
"70","Hymenea courbaril",NA,FALSE,"Hymenaea courbaril",27020,TRUE,7
"2","Aegiphila sellowiana",1000000238,TRUE,"Aegiphila verticillata",NA,FALSE,9
"21","Caesalpinia eriostachys",1000001917,TRUE,"Poincianella eriostachys",NA,FALSE,9
"23","Capparis indica",46256,TRUE,"Quadrella indica",NA,FALSE,9
"107","Sclerolobium paniculatum",1000013036,TRUE,"Tachigali vulgaris",NA,FALSE,9
"1","Aegiphila lhotzkiana",49913,FALSE,"Aegiphila lhotzkiana",49913,FALSE,2
"3","Albizia guachapele",NA,FALSE,"Albizia guachapele",NA,FALSE,11
"12","Balfourodendron riedelianum",NA,FALSE,"Balfourodendron riedelianum",NA,FALSE,11
"31","Ceiba speciosa",NA,FALSE,"Ceiba speciosa",NA,FALSE,11
"43","Cordia trichotoma",NA,FALSE,"Cordia trichotoma",NA,FALSE,11
"66","Holocalyx balansae",NA,FALSE,"Holocalyx balansae",NA,FALSE,11
"68","Hymenaea martiana",NA,FALSE,"Hymenaea martiana",NA,FALSE,11
"91","Ocotea diospyrifolia",NA,FALSE,"Ocotea diospyrifolia",NA,FALSE,11
"93","Parapiptadenia rigida",NA,FALSE,"Parapiptadenia rigida",NA,FALSE,11
"105","Schefflera macrocarpa",NA,FALSE,"Schefflera macrocarpa",NA,FALSE,11
"108","Semialarium mexicanum",NA,FALSE,"Semialarium mexicanum",NA,FALSE,11
"113","Styrax ferrugineus",NA,FALSE,"Styrax ferrugineus",NA,FALSE,11
"114","Styrax pohlii",NA,FALSE,"Styrax pohlii",NA,FALSE,11
"116","Symplocos lanceolata",NA,FALSE,"Symplocos lanceolata",NA,FALSE,11
"128","Vochysia thyrsoidea",NA,FALSE,"Vochysia thyrsoidea",NA,FALSE,11
"69","Hymenaea stignocarpa",NA,FALSE,"Hymenaea stigonocarpa",NA,FALSE,12
"77","Lonchocarpus muehlbergianus",NA,FALSE,"Lonchocarpus muehlbergianus",NA,FALSE,11
"84","Miconia pohliana",NA,FALSE,"Miconia leucocarpa",NA,FALSE,12
"88","Myrsine ferruginea",NA,FALSE,"Myrsine coriacea subsp. coriacea",NA,FALSE,12
"18","Byrsonima crassa",NA,FALSE,"Byrsonima crassa",NA,FALSE,11
"117","Symplocos mosenii",NA,FALSE,"Symplocos mosenii",NA,FALSE,11
"120","Tachigalia versicolor",NA,FALSE,"Tachigalia versicolor",NA,FALSE,11
