Species,Ptlp,WD,SLA,Organ,Ref,Biome,Long,Lat
ochroma pyramidale,-1.6,0.157516429,NaN,Leaf,"Machado & Tyree 1994",Tropical seasonal forest,-79.85,9.15
pseudobombax septenatum,-1.28,0.211666667,7.762471166,Leaf,"Machado & Tyree 1994",Tropical seasonal forest,-79.85,9.15
abarema jupunba,-1.595426667,0.585142857,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
apeiba glabra,-2.017666667,0.32,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
aspidosperma excelsum,-1.743106667,0.792,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
bocoa prouacensis,-2.1286,1.053666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
bocoa prouacensis,-1.96012,1.053666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
bocoa prouacensis,-2.306093333,1.053666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
bocoa prouacensis,-2.227746667,1.053666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
bocoa prouacensis,-1.6086,1.053666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
bocoa prouacensis,-2.24924,1.053666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
bocoa prouacensis,-2.08284,1.053666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
brosimum rubescens,-2.279746667,0.825142857,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
carapa procera,-1.744493333,0.5638125,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
carapa procera,-2.0246,0.5638125,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
carapa procera,-2.04124,0.5638125,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
carapa procera,-1.8686,0.5638125,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
carapa procera,-1.955266667,0.5638125,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
caryocar glabrum,-1.879693333,0.653571429,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
cassipourea guianensis,-2.054413333,0.82,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
chrysophyllum sanguinolentum,-1.4474,0.6714,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
conceveiba guianensis,-1.69596,0.54325,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
cordia sagotii,-1.94972,0.409,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
cordia sagotii,-1.8686,0.409,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
couepia bracteosa,-2.25548,0.77,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
couepia caryophylloides,-1.86756,0.77,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
couratari oblongifolia,-1.971906667,0.505,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
couratari oblongifolia,-1.751426667,0.505,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
cupania scrobiculata,-2.13484,0.628,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
dicorynia guianensis,-1.511533333,0.5912,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
dicorynia guianensis,-1.58468,0.5912,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
dicorynia guianensis,-2.344226667,0.5912,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
dicorynia guianensis,-1.661293333,0.5912,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
dicorynia guianensis,-1.4578,0.5912,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
diospyros carbonaria,-1.808973333,0.73,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
diospyros carbonaria,-1.60236,0.73,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
drypetes variabilis,-2.31372,0.736666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
drypetes variabilis,-1.930306667,0.736666667,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
eperua grandiflora,-2.11196,0.704,NaN,Leaf,"Marechaux et al. 2015",Tropical rainforest,-52.66666667,4.08333333
